Book,Date,Weeks,Rank
Broken Horses,4/25/2021,1,1
Finding Freedom,4/25/2021,1,2
Broken,4/25/2021,1,3
Beautiful Things,4/25/2021,1,4
The Light of Days,4/25/2021,1,5
The God Equation,4/25/2021,1,6
The Code Breaker,4/25/2021,5,7
The Body,4/25/2021,16,8
Killers of the Flower Moon,4/25/2021,59,9
The Body Keeps The Score,4/25/2021,33,10
Greenlights,4/25/2021,25,11
Caste,4/25/2021,36,12
This is the Fire,4/25/2021,4,13
Untamed,4/25/2021,57,14
Philip Roth,4/25/2021,1,15
A Promised Land,4/18/2021,20,11
Becoming,4/18/2021,103,8
Caste,4/18/2021,35,5
Climate Disaster,4/18/2021,7,10
Every Day Is a Gift,4/18/2021,1,15
Greenlights,4/18/2021,24,2
Hooked,4/18/2021,1,13
Rock Me on the Water,4/18/2021,1,12
The Beauty of Living Twice,4/18/2021,1,3
The Body Keeps The Score,4/18/2021,32,4
The Code Breaker,4/18/2021,4,1
The Sum of Us,4/18/2021,7,9
Think Again,4/18/2021,9,7
This Is The Fire,4/18/2021,3,14
Untamed,4/18/2021,56,6
A Promised Land,4/11/2021,19,8
Becoming,4/11/2021,102,5
Braiding Sweetgrass,4/11/2021,8,14
Caste,4/11/2021,34,4
Climate Disaster,4/11/2021,6,9
Greenlights,4/11/2021,23,2
Just As I Am,4/11/2021,9,10
Nomadland,4/11/2021,5,15
Remember,4/11/2021,1,12
The Body Keeps The Score,4/11/2021,31,3
The Code Breaker,4/11/2021,3,1
The Sum of Us,4/11/2021,6,11
Think Again,4/11/2021,8,7
This Is The Fire,4/11/2021,2,13
Untamed,4/11/2021,55,6
A Promised Land,4/4/2021,18,9
Becoming,4/4/2021,101,7
Caste,4/4/2021,33,4
Climate Disaster,4/4/2021,5,5
Greenlights,4/4/2021,22,3
Just As I Am,4/4/2021,8,12
Nomadland,4/4/2021,4,13
The Body Keeps The Score,4/4/2021,30,6
The Code Breaker,4/4/2021,2,2
The Sum of Us,4/4/2021,5,11
Think Again,4/4/2021,7,10
This Is The Fire,4/4/2021,1,1
Uncomfortable Conversations,4/4/2021,5,14
Untamed,4/4/2021,54,8
Walk In My Combat Boots,4/4/2021,6,15
A Promised Land,3/28/2021,17,10
Becoming,3/28/2021,100,7
Braiding Sweetgrass,3/28/2021,7,15
Caste,3/28/2021,32,4
Climate Disaster,3/28/2021,4,5
Greenlights,3/28/2021,21,3
"Hunt, Gather, Parent",3/28/2021,2,14
Just As I Am,3/28/2021,7,11
Nomadland,3/28/2021,3,12
The Body Keeps The Score,3/28/2021,29,6
The Code Breaker,3/28/2021,1,1
The Sum of Us,3/28/2021,4,2
Think Again,3/28/2021,6,9
Untamed,3/28/2021,53,8
Walk In My Combat Boots,3/28/2021,5,13
A Promised Land,3/21/2021,16,8
Becoming,3/21/2021,99,12
Caste,3/21/2021,31,2
Climate Disaster,3/21/2021,3,1
Four Hundred Souls,3/21/2021,5,14
Greenlights,3/21/2021,20,6
"Hunt, Gather, Parent",3/21/2021,1,11
Just As I Am,3/21/2021,6,5
Nomadland,3/21/2021,2,9
The Body Keeps The Score,3/21/2021,28,13
The Sum of Us,3/21/2021,3,7
Think Again,3/21/2021,5,3
Thinking Fast and Slow,3/21/2021,23,15
Untamed,3/21/2021,52,4
Walk In My Combat Boots,3/21/2021,4,10
A Promised Land,3/14/2021,15,8
Between Two Kingdoms,3/14/2021,3,14
Caste,3/14/2021,30,4
Climate Disaster,3/14/2021,2,1
Four Hundred Souls,3/14/2021,4,12
Greenlights,3/14/2021,19,3
Just As I Am,3/14/2021,5,6
Nomadland,3/14/2021,1,10
The Body Keeps The Score,3/14/2021,27,11
The Daughters of Kobani,3/14/2021,2,15
The Sum of Us,3/14/2021,2,7
Think Again,3/14/2021,4,2
Thinking Fast and Slow,3/14/2021,22,13
Untamed,3/14/2021,51,9
Walk In My Combat Boots,3/14/2021,3,5
A Promised Land,3/7/2021,14,6
Between Two Kingdoms,3/7/2021,2,7
Caste,3/7/2021,29,5
Climate Disaster,3/7/2021,1,1
Four Hundred Souls,3/7/2021,3,12
Greenlights,3/7/2021,18,8
Just As I Am,3/7/2021,4,2
The Black Church,3/7/2021,1,14
The Body Keeps The Score,3/7/2021,26,11
The Daughters of Kobani,3/7/2021,1,13
The Sum of Us,3/7/2021,1,3
Think Again,3/7/2021,3,10
Unmasked,3/7/2021,3,15
Untamed,3/7/2021,50,9
